Term,RawFrequency,RelativeFrequency,ZScore,ZScoreRatio
ond,53.0,25954.947,14.304166,-61.299244
ða,44.0,21547.502,11.788057,-50.516685
þæt,37.0,18119.49,9.831084,-42.13025
ðam,27.0,13222.331,7.0354085,-30.149626
se,22.0,10773.751,5.6375704,-24.159313
þa,22.0,10773.751,5.6375704,-24.159313
hie,19.0,9304.604,4.798867,-20.565125
þe,17.0,8325.172,4.2397323,-18.169
swa,14.0,6856.0234,3.4010293,-14.574813
þæs,14.0,6856.0234,3.4010293,-14.574813
hyre,12.0,5876.5913,2.8418941,-12.178688
mid,12.0,5876.5913,2.8418941,-12.178688
mægð,10.0,4897.1597,2.282759,-9.782563
wæs,10.0,4897.1597,2.282759,-9.782563
gumena,9.0,4407.4434,2.0031912,-8.5845
heo,9.0,4407.4434,2.0031912,-8.5845
hi,9.0,4407.4434,2.0031912,-8.5845
ne,9.0,4407.4434,2.0031912,-8.5845
seo,9.0,4407.4434,2.0031912,-8.5845
wearð,9.0,4407.4434,2.0031912,-8.5845
hyra,8.0,3917.7275,1.7236235,-7.386437
ic,8.0,3917.7275,1.7236235,-7.386437
wæron,8.0,3917.7275,1.7236235,-7.386437
æt,8.0,3917.7275,1.7236235,-7.386437
ðæs,8.0,3917.7275,1.7236235,-7.386437
iudith,7.0,3428.0117,1.4440559,-6.1883745
ðe,7.0,3428.0117,1.4440559,-6.1883745
ealle,6.0,2938.2957,1.1644883,-4.9903126
forð,6.0,2938.2957,1.1644883,-4.9903126
ge,6.0,2938.2957,1.1644883,-4.9903126
hyne,6.0,2938.2957,1.1644883,-4.9903126
hæleð,6.0,2938.2957,1.1644883,-4.9903126
ys,6.0,2938.2957,1.1644883,-4.9903126
þone,6.0,2938.2957,1.1644883,-4.9903126
þurh,6.0,2938.2957,1.1644883,-4.9903126
þær,6.0,2938.2957,1.1644883,-4.9903126
dryhten,5.0,2448.5798,0.88492066,-3.7922497
eac,5.0,2448.5798,0.88492066,-3.7922497
ealdor,5.0,2448.5798,0.88492066,-3.7922497
eow,5.0,2448.5798,0.88492066,-3.7922497
god,5.0,2448.5798,0.88492066,-3.7922497
het,5.0,2448.5798,0.88492066,-3.7922497
holofernus,5.0,2448.5798,0.88492066,-3.7922497
hu,5.0,2448.5798,0.88492066,-3.7922497
mode,5.0,2448.5798,0.88492066,-3.7922497
stopon,5.0,2448.5798,0.88492066,-3.7922497
swegles,5.0,2448.5798,0.88492066,-3.7922497
swylce,5.0,2448.5798,0.88492066,-3.7922497
syððan,5.0,2448.5798,0.88492066,-3.7922497
wið,5.0,2448.5798,0.88492066,-3.7922497
þam,5.0,2448.5798,0.88492066,-3.7922497
þearle,5.0,2448.5798,0.88492066,-3.7922497
ac,4.0,1958.8638,0.60535306,-2.5941873
ahte,4.0,1958.8638,0.60535306,-2.5941873
byrig,4.0,1958.8638,0.60535306,-2.5941873
ende,4.0,1958.8638,0.60535306,-2.5941873
eodon,4.0,1958.8638,0.60535306,-2.5941873
fagum,4.0,1958.8638,0.60535306,-2.5941873
geleafan,4.0,1958.8638,0.60535306,-2.5941873
heafod,4.0,1958.8638,0.60535306,-2.5941873
ides,4.0,1958.8638,0.60535306,-2.5941873
oðþæt,4.0,1958.8638,0.60535306,-2.5941873
somod,4.0,1958.8638,0.60535306,-2.5941873
weras,4.0,1958.8638,0.60535306,-2.5941873
wiggend,4.0,1958.8638,0.60535306,-2.5941873
ær,4.0,1958.8638,0.60535306,-2.5941873
ðær,4.0,1958.8638,0.60535306,-2.5941873
ðære,4.0,1958.8638,0.60535306,-2.5941873
acwæð,3.0,1469.1478,0.32578546,-1.396125
baldor,3.0,1469.1478,0.32578546,-1.396125
beorhtan,3.0,1469.1478,0.32578546,-1.396125
bliðe,3.0,1469.1478,0.32578546,-1.396125
cwicera,3.0,1469.1478,0.32578546,-1.396125
eallum,3.0,1469.1478,0.32578546,-1.396125
ebrea,3.0,1469.1478,0.32578546,-1.396125
folc,3.0,1469.1478,0.32578546,-1.396125
fromlice,3.0,1469.1478,0.32578546,-1.396125
frymða,3.0,1469.1478,0.32578546,-1.396125
golde,3.0,1469.1478,0.32578546,-1.396125
helmas,3.0,1469.1478,0.32578546,-1.396125
hlude,3.0,1469.1478,0.32578546,-1.396125
hæfde,3.0,1469.1478,0.32578546,-1.396125
hæfdon,3.0,1469.1478,0.32578546,-1.396125
idese,3.0,1469.1478,0.32578546,-1.396125
inne,3.0,1469.1478,0.32578546,-1.396125
læg,3.0,1469.1478,0.32578546,-1.396125
mihte,3.0,1469.1478,0.32578546,-1.396125
miltse,3.0,1469.1478,0.32578546,-1.396125
nu,3.0,1469.1478,0.32578546,-1.396125
næs,3.0,1469.1478,0.32578546,-1.396125
ofstum,3.0,1469.1478,0.32578546,-1.396125
reste,3.0,1469.1478,0.32578546,-1.396125
rica,3.0,1469.1478,0.32578546,-1.396125
snude,3.0,1469.1478,0.32578546,-1.396125
swyrdum,3.0,1469.1478,0.32578546,-1.396125
word,3.0,1469.1478,0.32578546,-1.396125
wuldor,3.0,1469.1478,0.32578546,-1.396125
wundenlocc,3.0,1469.1478,0.32578546,-1.396125
ædre,3.0,1469.1478,0.32578546,-1.396125
æfter,3.0,1469.1478,0.32578546,-1.396125
ðone,3.0,1469.1478,0.32578546,-1.396125
þære,3.0,1469.1478,0.32578546,-1.396125
aldre,2.0,979.4319,0.04621783,-0.19806245
assiria,2.0,979.4319,0.04621783,-0.19806245
aweccan,2.0,979.4319,0.04621783,-0.19806245
bealofullan,2.0,979.4319,0.04621783,-0.19806245
bearn,2.0,979.4319,0.04621783,-0.19806245
bebead,2.0,979.4319,0.04621783,-0.19806245
bedde,2.0,979.4319,0.04621783,-0.19806245
beornas,2.0,979.4319,0.04621783,-0.19806245
bethuliam,2.0,979.4319,0.04621783,-0.19806245
biddan,2.0,979.4319,0.04621783,-0.19806245
blodig,2.0,979.4319,0.04621783,-0.19806245
blæd,2.0,979.4319,0.04621783,-0.19806245
bord,2.0,979.4319,0.04621783,-0.19806245
brego,2.0,979.4319,0.04621783,-0.19806245
brytta,2.0,979.4319,0.04621783,-0.19806245
byrnan,2.0,979.4319,0.04621783,-0.19806245
cumbolwigan,2.0,979.4319,0.04621783,-0.19806245
cumen,2.0,979.4319,0.04621783,-0.19806245
cynerofe,2.0,979.4319,0.04621783,-0.19806245
cynnes,2.0,979.4319,0.04621783,-0.19806245
cyðan,2.0,979.4319,0.04621783,-0.19806245
deaðe,2.0,979.4319,0.04621783,-0.19806245
dema,2.0,979.4319,0.04621783,-0.19806245
dobbie,2.0,979.4319,0.04621783,-0.19806245
dom,2.0,979.4319,0.04621783,-0.19806245
druncen,2.0,979.4319,0.04621783,-0.19806245
dæl,2.0,979.4319,0.04621783,-0.19806245
eal,2.0,979.4319,0.04621783,-0.19806245
ealde,2.0,979.4319,0.04621783,-0.19806245
ealles,2.0,979.4319,0.04621783,-0.19806245
eaðost,2.0,979.4319,0.04621783,-0.19806245
ebrisce,2.0,979.4319,0.04621783,-0.19806245
eft,2.0,979.4319,0.04621783,-0.19806245
ellenrof,2.0,979.4319,0.04621783,-0.19806245
eorla,2.0,979.4319,0.04621783,-0.19806245
eorlas,2.0,979.4319,0.04621783,-0.19806245
eornoste,2.0,979.4319,0.04621783,-0.19806245
fira,2.0,979.4319,0.04621783,-0.19806245
fletsittendum,2.0,979.4319,0.04621783,-0.19806245
folce,2.0,979.4319,0.04621783,-0.19806245
folctogan,2.0,979.4319,0.04621783,-0.19806245
frofre,2.0,979.4319,0.04621783,-0.19806245
fultum,2.0,979.4319,0.04621783,-0.19806245
funde,2.0,979.4319,0.04621783,-0.19806245
fynd,2.0,979.4319,0.04621783,-0.19806245
fæge,2.0,979.4319,0.04621783,-0.19806245
gefeohte,2.0,979.4319,0.04621783,-0.19806245
gefeoll,2.0,979.4319,0.04621783,-0.19806245
gefremede,2.0,979.4319,0.04621783,-0.19806245
gefrætewod,2.0,979.4319,0.04621783,-0.19806245
gegan,2.0,979.4319,0.04621783,-0.19806245
geheawen,2.0,979.4319,0.04621783,-0.19806245
gemong,2.0,979.4319,0.04621783,-0.19806245
genam,2.0,979.4319,0.04621783,-0.19806245
gesne,2.0,979.4319,0.04621783,-0.19806245
getacnod,2.0,979.4319,0.04621783,-0.19806245
gewat,2.0,979.4319,0.04621783,-0.19806245
ginnan,2.0,979.4319,0.04621783,-0.19806245
gleawe,2.0,979.4319,0.04621783,-0.19806245
grame,2.0,979.4319,0.04621783,-0.19806245
guðe,2.0,979.4319,0.04621783,-0.19806245
gyt,2.0,979.4319,0.04621783,-0.19806245
gæst,2.0,979.4319,0.04621783,-0.19806245
halige,2.0,979.4319,0.04621783,-0.19806245
ham,2.0,979.4319,0.04621783,-0.19806245
heanne,2.0,979.4319,0.04621783,-0.19806245
hearde,2.0,979.4319,0.04621783,-0.19806245
hehstan,2.0,979.4319,0.04621783,-0.19806245
heolfrig,2.0,979.4319,0.04621783,-0.19806245
heora,2.0,979.4319,0.04621783,-0.19806245
herefolces,2.0,979.4319,0.04621783,-0.19806245
herewæðan,2.0,979.4319,0.04621783,-0.19806245
hilde,2.0,979.4319,0.04621783,-0.19806245
hogedon,2.0,979.4319,0.04621783,-0.19806245
hæðenan,2.0,979.4319,0.04621783,-0.19806245
judith,2.0,979.4319,0.04621783,-0.19806245
lange,2.0,979.4319,0.04621783,-0.19806245
laðestan,2.0,979.4319,0.04621783,-0.19806245
laðne,2.0,979.4319,0.04621783,-0.19806245
laðra,2.0,979.4319,0.04621783,-0.19806245
lifes,2.0,979.4319,0.04621783,-0.19806245
linde,2.0,979.4319,0.04621783,-0.19806245
lungre,2.0,979.4319,0.04621783,-0.19806245
læddon,2.0,979.4319,0.04621783,-0.19806245
mannan,2.0,979.4319,0.04621783,-0.19806245
mece,2.0,979.4319,0.04621783,-0.19806245
mede,2.0,979.4319,0.04621783,-0.19806245
miclum,2.0,979.4319,0.04621783,-0.19806245
mihten,2.0,979.4319,0.04621783,-0.19806245
mihtig,2.0,979.4319,0.04621783,-0.19806245
mon,2.0,979.4319,0.04621783,-0.19806245
monna,2.0,979.4319,0.04621783,-0.19806245
mote,2.0,979.4319,0.04621783,-0.19806245
mægen,2.0,979.4319,0.04621783,-0.19806245
nanne,2.0,979.4319,0.04621783,-0.19806245
nealæhte,2.0,979.4319,0.04621783,-0.19806245
ofer,2.0,979.4319,0.04621783,-0.19806245
ofostlice,2.0,979.4319,0.04621783,-0.19806245
ongan,2.0,979.4319,0.04621783,-0.19806245
ongeaton,2.0,979.4319,0.04621783,-0.19806245
ongunnon,2.0,979.4319,0.04621783,-0.19806245
oð,2.0,979.4319,0.04621783,-0.19806245
oððe,2.0,979.4319,0.04621783,-0.19806245
rinca,2.0,979.4319,0.04621783,-0.19806245
rondwiggende,2.0,979.4319,0.04621783,-0.19806245
rume,2.0,979.4319,0.04621783,-0.19806245
ræswan,2.0,979.4319,0.04621783,-0.19806245
sinces,2.0,979.4319,0.04621783,-0.19806245
sið,2.0,979.4319,0.04621783,-0.19806245
siðe,2.0,979.4319,0.04621783,-0.19806245
sloh,2.0,979.4319,0.04621783,-0.19806245
soðne,2.0,979.4319,0.04621783,-0.19806245
spræc,2.0,979.4319,0.04621783,-0.19806245
stercedferhðe,2.0,979.4319,0.04621783,-0.19806245
sweorde,2.0,979.4319,0.04621783,-0.19806245
sweordum,2.0,979.4319,0.04621783,-0.19806245
swiman,2.0,979.4319,0.04621783,-0.19806245
swiðmod,2.0,979.4319,0.04621783,-0.19806245
tir,2.0,979.4319,0.04621783,-0.19806245
tires,2.0,979.4319,0.04621783,-0.19806245
torhtmod,2.0,979.4319,0.04621783,-0.19806245
toweard,2.0,979.4319,0.04621783,-0.19806245
træfe,2.0,979.4319,0.04621783,-0.19806245
tweode,2.0,979.4319,0.04621783,-0.19806245
ure,2.0,979.4319,0.04621783,-0.19806245
ut,2.0,979.4319,0.04621783,-0.19806245
uðe,2.0,979.4319,0.04621783,-0.19806245
waldend,2.0,979.4319,0.04621783,-0.19806245
weard,2.0,979.4319,0.04621783,-0.19806245
wel,2.0,979.4319,0.04621783,-0.19806245
werigferhðe,2.0,979.4319,0.04621783,-0.19806245
wif,2.0,979.4319,0.04621783,-0.19806245
wine,2.0,979.4319,0.04621783,-0.19806245
wlitegan,2.0,979.4319,0.04621783,-0.19806245
wolde,2.0,979.4319,0.04621783,-0.19806245
wrehton,2.0,979.4319,0.04621783,-0.19806245
wylle,2.0,979.4319,0.04621783,-0.19806245
yldestan,2.0,979.4319,0.04621783,-0.19806245
ymbe,2.0,979.4319,0.04621783,-0.19806245
ælmihtigan,2.0,979.4319,0.04621783,-0.19806245
æðele,2.0,979.4319,0.04621783,-0.19806245
ðæt,2.0,979.4319,0.04621783,-0.19806245
þara,2.0,979.4319,0.04621783,-0.19806245
þearfe,2.0,979.4319,0.04621783,-0.19806245
þearlmod,2.0,979.4319,0.04621783,-0.19806245
þeodne,2.0,979.4319,0.04621783,-0.19806245
þeodnes,2.0,979.4319,0.04621783,-0.19806245
þinre,2.0,979.4319,0.04621783,-0.19806245
109.0,1.0,489.71594,-0.23334979,-1.0
138.0,1.0,489.71594,-0.23334979,-1.0
1953.0,1.0,489.71594,-0.23334979,-1.0
abræd,1.0,489.71594,-0.23334979,-1.0
afor,1.0,489.71594,-0.23334979,-1.0
ageaf,1.0,489.71594,-0.23334979,-1.0
ageafon,1.0,489.71594,-0.23334979,-1.0
agon,1.0,489.71594,-0.23334979,-1.0
agotene,1.0,489.71594,-0.23334979,-1.0
ahongen,1.0,489.71594,-0.23334979,-1.0
aldor,1.0,489.71594,-0.23334979,-1.0
alede,1.0,489.71594,-0.23334979,-1.0
alwaldan,1.0,489.71594,-0.23334979,-1.0
anbyhtscealcas,1.0,489.71594,-0.23334979,-1.0
anes,1.0,489.71594,-0.23334979,-1.0
aninga,1.0,489.71594,-0.23334979,-1.0
anra,1.0,489.71594,-0.23334979,-1.0
anre,1.0,489.71594,-0.23334979,-1.0
areted,1.0,489.71594,-0.23334979,-1.0
arfæst,1.0,489.71594,-0.23334979,-1.0
arod,1.0,489.71594,-0.23334979,-1.0
asecgan,1.0,489.71594,-0.23334979,-1.0
aspr,1.0,489.71594,-0.23334979,-1.0
assyria,1.0,489.71594,-0.23334979,-1.0
assyrium,1.0,489.71594,-0.23334979,-1.0
aswefede,1.0,489.71594,-0.23334979,-1.0
atolan,1.0,489.71594,-0.23334979,-1.0
atolne,1.0,489.71594,-0.23334979,-1.0
awa,1.0,489.71594,-0.23334979,-1.0
ba,1.0,489.71594,-0.23334979,-1.0
beadorinca,1.0,489.71594,-0.23334979,-1.0
beadowe,1.0,489.71594,-0.23334979,-1.0
beaduwe,1.0,489.71594,-0.23334979,-1.0
beaga,1.0,489.71594,-0.23334979,-1.0
beagum,1.0,489.71594,-0.23334979,-1.0
beahhrodene,1.0,489.71594,-0.23334979,-1.0
bealde,1.0,489.71594,-0.23334979,-1.0
bealofull,1.0,489.71594,-0.23334979,-1.0
bealofulla,1.0,489.71594,-0.23334979,-1.0
bearhtme,1.0,489.71594,-0.23334979,-1.0
bearna,1.0,489.71594,-0.23334979,-1.0
bearnum,1.0,489.71594,-0.23334979,-1.0
becom,1.0,489.71594,-0.23334979,-1.0
becomon,1.0,489.71594,-0.23334979,-1.0
bed,1.0,489.71594,-0.23334979,-1.0
beddes,1.0,489.71594,-0.23334979,-1.0
bedreste,1.0,489.71594,-0.23334979,-1.0
begea,1.0,489.71594,-0.23334979,-1.0
begen,1.0,489.71594,-0.23334979,-1.0
beheafdod,1.0,489.71594,-0.23334979,-1.0
behðe,1.0,489.71594,-0.23334979,-1.0
belidenne,1.0,489.71594,-0.23334979,-1.0
bencsittende,1.0,489.71594,-0.23334979,-1.0
bencum,1.0,489.71594,-0.23334979,-1.0
benæman,1.0,489.71594,-0.23334979,-1.0
beorhte,1.0,489.71594,-0.23334979,-1.0
beorhtra,1.0,489.71594,-0.23334979,-1.0
beorna,1.0,489.71594,-0.23334979,-1.0
beowulf,1.0,489.71594,-0.23334979,-1.0
berað,1.0,489.71594,-0.23334979,-1.0
berenne,1.0,489.71594,-0.23334979,-1.0
besmitan,1.0,489.71594,-0.23334979,-1.0
bewunden,1.0,489.71594,-0.23334979,-1.0
beæftan,1.0,489.71594,-0.23334979,-1.0
beðeahte,1.0,489.71594,-0.23334979,-1.0
binnan,1.0,489.71594,-0.23334979,-1.0
blachleor,1.0,489.71594,-0.23334979,-1.0
blacne,1.0,489.71594,-0.23334979,-1.0
blican,1.0,489.71594,-0.23334979,-1.0
bodedon,1.0,489.71594,-0.23334979,-1.0
bodian,1.0,489.71594,-0.23334979,-1.0
bollan,1.0,489.71594,-0.23334979,-1.0
bordum,1.0,489.71594,-0.23334979,-1.0
boren,1.0,489.71594,-0.23334979,-1.0
bradswyrd,1.0,489.71594,-0.23334979,-1.0
brema,1.0,489.71594,-0.23334979,-1.0
breostum,1.0,489.71594,-0.23334979,-1.0
brogan,1.0,489.71594,-0.23334979,-1.0
brohton,1.0,489.71594,-0.23334979,-1.0
brugdon,1.0,489.71594,-0.23334979,-1.0
brune,1.0,489.71594,-0.23334979,-1.0
bryttan,1.0,489.71594,-0.23334979,-1.0
bunan,1.0,489.71594,-0.23334979,-1.0
burga,1.0,489.71594,-0.23334979,-1.0
burgeteld,1.0,489.71594,-0.23334979,-1.0
burgetelde,1.0,489.71594,-0.23334979,-1.0
burgeteldes,1.0,489.71594,-0.23334979,-1.0
burgleoda,1.0,489.71594,-0.23334979,-1.0
burhleodum,1.0,489.71594,-0.23334979,-1.0
burhsittende,1.0,489.71594,-0.23334979,-1.0
butan,1.0,489.71594,-0.23334979,-1.0
byrnhomas,1.0,489.71594,-0.23334979,-1.0
byrnwigena,1.0,489.71594,-0.23334979,-1.0
byrnwiggende,1.0,489.71594,-0.23334979,-1.0
bysmerlice,1.0,489.71594,-0.23334979,-1.0
bælc,1.0,489.71594,-0.23334979,-1.0
bæron,1.0,489.71594,-0.23334979,-1.0
